,Unnamed: 0,Unnamed: 0.1,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,text
76,76,76,1082975984947789824,2019-01-09 12:22:50,1066,RealTrumpsFeels,340,UK,"RT @TiceRichard: President of Calais port confirms on R4 Today that even with WTO Brexit, there will be no extra border checks, no delays.…"
77,77,77,1082975984276697088,2019-01-09 12:22:50,1,EuropeFife,3092,"Fife, Scotland, UK, EU",RT @GlasgowlovesEu: ‘most unhinged example of national self-sabotage in living memory.' Prof. Sir Anton Muscatelli @UofGlasgow @brigidlaffa…
78,78,78,1082975984020832256,2019-01-09 12:22:49,7,c_plumpton,1332,,"RT @peoplesvote_uk: WATCH: @leicesterliz was sceptical of a #PeoplesVote at first, but now she knows that it is the #OnlyWayForward and the…"
79,79,79,1082975983186178049,2019-01-09 12:22:49,25,Jenemm3,5013,Motherwell #YES 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"RT @theSNP: .@drewhendrySNP ""The Tories are creating an immigration system that feels less like a hostile environment and more like a Xenop…"
80,80,80,1082975979876823045,2019-01-09 12:22:48,88,majanovelist,6668,Exeter UK,RT @BenPBradshaw: This arrogant Government tried to make its Business Motion on the renewed #brexit debate unammendable. It’s failed. Parli…
81,81,81,1082975979285504000,2019-01-09 12:22:48,5,serichards,721,Staffordshire,RT @drmatthewhardy: @RemainerNow @RobertCPalmer13 @TheProf13482251 @Fransfedup @twoarmadillos @BBCNews @Channel4News @abcpoppins @JasonJHun…
82,82,82,1082975977691582465,2019-01-09 12:22:48,182,frankwordsuk,464,"England, United Kingdom","RT @Adrian_Hilton: Tonight, on #Brexit matters, @jonsnowC4 @Channel4News interviewed: @YvetteCooperMP @NickyMorgan01 @GutoAberconwy @sarahw…"
83,83,83,1082975972201283584,2019-01-09 12:22:47,14,Abdullmajiidz,269,"Katsina, Nigeria",RT @BBCNews: #Brexit: Forcing the timetable for a 'Plan B'
84,84,84,1082975970930372608,2019-01-09 12:22:46,56,reidar_vasbund,58,,RT @mattholehouse: Brexit minister Chris Heaton-Harris on no-deal meat export tariffs. “We are well aware of the tariffs that there would…
85,85,85,1082975969957347333,2019-01-09 12:22:46,262,Biberbach,1063,Edinburgh,RT @KeithBrownSNP: Stephen Kerr on GMS saying his constituents want May’s Brexit Deal. Utter nonsense! He needs to talk to his (and my) con…
86,86,86,1082975968619360256,2019-01-09 12:22:46,0,antartica81,74,,@alaidi And oscillators heading for the same extremes on GBP &amp; EUR pairs as last seen leading up to the Brexit referendum flash crash.
87,87,87,1082975960276877316,2019-01-09 12:22:44,0,BENEFITS_NEWS,14806,United Kingdom,LOOK AT THIS... JUST BEEN THROUGH #ToryElectionFraud TRIAL.. GETS OFF.. like the rest... and backs BENT TORY DEALIN…
88,88,88,1082975959442210817,2019-01-09 12:22:44,60,LePlanRex,4833,"Remoania, Land of Unicorns ",RT @abcpoppins: Corbyn will lay out his vision for delivering Brexit in a speech tomorrow to vow to honour the 2016 vote. He will spell ou…
89,89,89,1082975959312150529,2019-01-09 12:22:44,0,jdcxstin,445,"Northern Ireland, United Kingdom",Jeremy Corbyn looking at his Brexit plans.
90,90,90,1082975957705809926,2019-01-09 12:22:43,14,RealLifeinFla,2297,"Florida, USA",RT @business: 👇 Theresa May answers Prime Minister's Questions before Parliament begins debating her Brexit deal ht…
91,91,91,1082975952626479109,2019-01-09 12:22:42,0,KateProctorES,6588,"London, England",SNP leader in Westminster @IanBlackfordMP asks for more reassurances before MPs begin their 5 days debate on Brexit again this afternoon.
92,92,92,1082975952609656834,2019-01-09 12:22:42,609,tomelce,284,leeds,"RT @OwenSmith_MP: 218 MPs met with the PM tonight, asking that she rule out No Deal Brexit. She refused to do so, I’m afraid. Many colleag…"
93,93,93,1082975950210564102,2019-01-09 12:22:41,64,RobotArchie,236,,RT @CharlesTannock: Sad but predictable. Makes a mockery of Brexiteer claims that not a single job will be lost by Brexit.
94,94,94,1082975947727331329,2019-01-09 12:22:41,1,4PawShop,5224,Canada,"As Brexit debate begins, Theresa May fails to win over Northern Irish kingmakers"
95,95,95,1082975942933389312,2019-01-09 12:22:40,19,Pgdelr1,588,"Eastleigh, England","RT @Lesqueenb: No we are not, but perhaps we shall be come next election. I will not vote for anyone who voted against Brexit. There are 3…"
96,96,96,1082975940739821568,2019-01-09 12:22:39,16,HFtards,5354,,"RT @RogerHelmerMEP: It’s just about possible that Theresa May will stick to her guns, lose her “meaningful vote”, but still deliver Brexit…"
97,97,97,1082975940660133888,2019-01-09 12:22:39,233,Labour4EU,19168,United Kingdom,RT @Andrew_Adonis: A massive row going on behind the scenes in the Commons about the Speaker’s decision to allow Dominic Grieve to move his…
98,98,98,1082975939728994305,2019-01-09 12:22:39,0,zacg_999,113,Hertfordshire,"Theresa May is incapable of answering questions directly, just deflection tactics. The 'deal' does nothing to solve…"
99,99,99,1082975939158511617,2019-01-09 12:22:39,9,amanda_mandyrj,1547,,RT @_samcorfield: Who's the most hated woman in Britain? Retweet for maximum sample. #Brexit #AnnaSoubry #YvetteCooper
100,100,100,1082975937438851073,2019-01-09 12:22:38,313,bromleylion,627,"London, England","RT @LeaveEUOfficial: After 300k people signed a massive petition calling for a No Deal Brexit, parliament will be forced to debate it on Ja…"
101,101,101,1082975934985265153,2019-01-09 12:22:38,2,fionawi93957560,944,,RT @andy70868578: @Steven_Swinford @JuliaHB1 So it seems it a a them and us - the people against the politicians. Not a great place for the…
102,102,102,1082975930363101185,2019-01-09 12:22:37,16,RealLifeinFla,2297,"Florida, USA",RT @ReutersUK: Parliament debates PM Theresa May's #Brexit deal after #PMQs
103,103,103,1082975930056916992,2019-01-09 12:22:37,143,DlsMarcus,19,,RT @Paulieplayspop: TORY HQ: Theresa May is facing another embarrassing Brexit defeat in the Commons tonight. What can we do?🤔🤨🙂 Call in a…
104,104,104,1082975929947717632,2019-01-09 12:22:37,5,midnytemercury,1163,space-time,"RT @Yassammez: ”special mention has to go to Cumberbatch’s accent. It’s so minutely well observed, it deserves awards on its own.”"
